"Country_name","Year","GDP_per_capita","Death_rate","Diet_high_in_sodium","Diet_low_in_whole_grains","Alcohol_use","Diet_low_in_fruits","Diet_low_in_nuts_and_seeds","Diet_low_in_vegetables","Low_physical_activity","Drug_Use","High_body_mass_index"
"Kazakhstan",2010,"20751.258","9.338",6109,11349,11316,4240,4107,630,2832,2484,23639
"Kenya",2010,"3735.793","7.57",2233,2066,13939,2403,924,1689,251,6413,9530
"Kiribati",2010,"1819.2013","7.071",24,37,19,28,3,24,16,7,197
"Kuwait",2010,"59780.03","1.834",128,403,21,116,70,8,324,34,1453
"Kyrgyzstan",2010,"4141.077","6.896",1375,2975,3073,1156,1264,234,559,566,4083
"Laos",2010,"4793.224","8.008",1547,550,1945,718,157,593,232,108,2242
"Latvia",2010,"21173.402","14.757",738,2021,1904,900,726,451,949,256,4709
"Lebanon",2010,"19239.564","4.066",290,2657,257,107,51,34,1477,145,4730
"Lesotho",2010,"2315.2769","18.644",181,186,1623,466,96,259,112,335,1895
"Liberia",2010,"1418.6758","9.907",224,308,1010,282,86,263,128,79,1224
"Libya",2010,"31394.162","4.512",186,1349,155,210,212,151,859,192,4034
"Lithuania",2010,"23942.76","13.823",994,2798,3305,1091,1104,655,1285,299,5910
"Luxembourg",2010,"114343.984","7.508",51,122,255,50,60,34,72,38,312
"Madagascar",2010,"1511.9867","7.713",2875,1378,2996,2142,859,2012,195,203,4778
"Malawi",2010,"1357.8717","11.412",1452,683,3707,963,60,959,153,399,3121
"Malaysia",2010,"20171.88","5.009",6104,4966,2472,2209,65,2557,2277,1838,12743
"Maldives",2010,"16492.531","3.112",52,48,11,24,11,17,20,10,60
"Mali",2010,"2018.6014","11.812",879,1109,1606,1118,201,927,326,175,3672
"Malta",2010,"32916.684","7.25",67,216,93,52,27,21,154,18,321
"Marshall Islands",2010,"3767.676","6.876",11,16,9,11,1,11,7,3,57
"Mauritania",2010,"4773.7524","8.327",197,343,141,329,199,221,257,6,1374
"Mauritius",2010,"17311.625","7.037",448,368,344,331,54,114,277,120,1733
"Mexico",2010,"18036.717","5.594",9362,10836,36400,4808,4794,5428,7395,2613,84838
"Micronesia (country)",2010,"3500.2952","4.587",25,37,22,27,4,24,21,6,183
"Moldova",2010,"8547.581","12.582",918,3071,4679,1456,1808,1029,915,679,6961
"Mongolia",2010,"7518.831","6.729",680,1017,2580,973,539,608,119,307,2696
"Montenegro",2010,"16767.357","9.213",684,307,470,75,99,13,82,20,1139
"Morocco",2010,"5841.8784","5.966",1956,15241,1239,1456,4293,1508,7820,856,29332
"Mozambique",2010,"1047.5914","11.902",2931,1669,3637,2537,274,1782,242,759,4791
"Myanmar",2010,"2830.284","9.214",16219,6514,15532,11269,116,5666,2976,6688,20433
"Namibia",2010,"9115.507","11.062",128,237,945,279,139,172,173,157,1151
